Property_id,Price,Category,Square_foot,Address,City,State,Zip Code,Property_link,Latitude,Longitude
107,4130000,Restaurant,16520,25393 Huntwood Ave, Hayward, CA ,94544,https://www.crexi.com/properties/1570201/california-25393-huntwood-ave,37.6500175,-122.0823696
108,3395000,retail,9197,882 Geary St, San Francisco, CA ,94109,https://www.crexi.com/properties/1546079/california-882-geary-street,37.786346,-122.417807
109,499000,retail,1581,1149 E Market St, Stockton, CA ,95205,https://www.crexi.com/properties/1532451/california-market-on-market,37.9542817,-121.2754424
110,5575000,retail,17160,532-536 Sutter Street, San Francisco, CA ,94102,https://www.crexi.com/properties/1533728/california-532-536-sutter-street,37.789421,-122.409312
111,3468000,retail,8160,2170 Oakland Rd, San Jose, CA ,95131,https://www.crexi.com/properties/1662987/california-2170-oakland-rd,37.3982028,-121.9020778
112,4000000,office,6000,440 N Central Ave, Campbell, CA ,95008,https://www.crexi.com/properties/1500333/california-440-n-centra-avenue-campbell-ca,37.293506,-121.9433441
113,658900,retail,1198,959 Story Rd Bldg H 2nd floor(5210), San Jose, CA ,95122,https://www.crexi.com/properties/1532588/california-959-story-rd-bldg-h-2nd-floor5210,37.3324894,-121.8588518
114,798600,retail,1210,959 Story Rd Bldg H (5115), San Jose, CA ,95122,https://www.crexi.com/properties/1532563/california-959-story-rd-bldg-h-5115,37.3324894,-121.8588518
115,6042300,office,2584,1571 Carob Ln, Los Altos, CA ,94024,https://www.crexi.com/properties/1307903/california-1571-carob-lane,37.353875,-122.087704
116,2249000,office,2732,257 E Campbell Ave, Campbell, CA ,95008,https://www.crexi.com/properties/1666645/california-campbell-avenue,37.2872883,-121.9452154
117,15000000,Services,623779,12201 Valpico Rd, Tracy, CA ,95377,https://www.crexi.com/properties/1532046/california-valpico-corral-hollow-corner-property,37.711473,-121.4561554
118,2575000,Services,128147,1530 W San Carlos St, San Jose, CA ,95126,https://www.crexi.com/properties/1001133/california-midtown-san-jose-multi-family-redevelopment,37.3226662,-121.9182616
119,658900,retail,1198,959 Story Rd Bldg H 2nd floor(5260), San Jose, CA ,95122,https://www.crexi.com/properties/1532610/california-959-story-rd-bldg-h-2nd-floor5260,37.3324894,-121.8588518
120,1495000,retail,2700,456 E Hedding St, San Jose, CA ,95112,https://www.crexi.com/properties/1198060/california-456-e-hedding,37.3578874,-121.8935037
