GEOID,Area (sq miles)
06037139801,1.3839873069499003e-10
06013324002,8.022869459459155e-11
06013320004,2.3493441969111336e-10
06013336201,4.910581486485112e-11
06013338203,6.239473243244426e-11
06013338204,1.0542859922779184e-10
06013345204,5.793992583011755e-10
06013345203,1.0638870791506248e-09
06013345112,3.354190949806819e-10
06013345113,2.1459755096524035e-10
06037143500,4.67315762548286e-11
06037181000,1.5620162297297012e-10
06037181500,4.129671409267628e-11
06037181600,4.716884806948734e-11
06037183101,3.652179613899008e-11
06001441402,6.548744980694878e-11
06001441501,1.1255606737451808e-10
06001441521,6.394119536679486e-11
06001441522,5.179560250964727e-11
06001441601,5.105557837838114e-11
06037406103,8.332544362933002e-11
06037920339,1.2923186210424486e-09
06037482521,5.82907270270167e-11
06067001102,1.578552065637115e-11
06067001201,1.5781294980688325e-11
06067006902,6.290265019304192e-11
06067006802,2.3522948648651393e-11
06067001103,4.6867305598453396e-11
06001441602,6.622529305019107e-11
06037183220,2.0194251930497437e-11
06037183300,2.042361312740745e-11
06037183510,1.8880528378378295e-11
06037183520,1.613557741312647e-11
06037183610,1.4285118725878148e-11
06037192300,3.3167604440154074e-11
06001441800,8.02293088803097e-11
06001441921,3.333328513514105e-11
06037195400,3.8862019884179675e-11
06113010104,9.442943320463116e-11
06113010610,6.648917200771466e-11
06113011208,6.959014711196892e-09
06113011301,1.1261804195945907e-08
06113010313,1.236555061775868e-10
06113010103,9.62651754826519e-11
06113010105,4.485660965250924e-11
06113010315,1.6200165637065336e-10
06001441923,5.942145810809706e-11
06001442100,7.317493899614541e-11
06001442400,6.229677606178829e-11
06037183820,1.1643237644782026e-11
06037185202,4.547904073360086e-11
06037185310,1.588223552123911e-11
06037405101,4.2291864478751744e-11
06037185320,2.097625405405663e-11
06037481603,2.4729357528949414e-11
06037481001,3.958801795367341e-11
06037404600,9.39068699806967e-10
06037800406,3.580716187837845e-09
06037800410,1.449148472007729e-09
06037800504,9.37308252702754e-10
06037800506,1.1060282845559544e-09
06067009409,1.7965961853280696e-10
06067009643,8.893171428571166e-11
06067007604,5.705956679536894e-11
06067009652,4.0711456351354255e-10
06067009336,2.34960566370652e-09
06067007111,4.4086161196918e-11
06067009647,6.193601621620949e-11
06067001702,9.35387469111984e-11
06067009649,7.52821252895566e-11
06067009648,4.296869787645366e-11
06067009650,1.0271279961389471e-10
06067008803,5.464603397683489e-10
06067009333,3.50096424710557e-11
06067004018,3.5644901351359187e-11
06067004017,3.9062958494216e-11
06067004908,5.813917258685266e-11
06067007023,5.071800463321005e-11
06067007439,7.463001119691663e-11
06067008601,1.2610005611969007e-09
06067004301,4.431859903474411e-11
06067001202,1.120185250965497e-11
06067001701,4.69282332046143e-11
06067004020,3.073091833976999e-11
06067004302,1.0628688899614602e-10
06067009642,2.2257383590744826e-11
06067006704,4.9115486486482973e-11
06067007024,2.7648349227784806e-11
06067009644,6.183383861004577e-11
06067009410,1.1835390347491755e-10
06067007025,4.931400424708227e-11
06067004604,6.167529575289706e-11
06067007026,1.6971274671812052e-10
06067007110,4.650564845559713e-11
06067009334,9.590889015441715e-11
06067009646,4.59733318532777e-11
06067008707,1.718168247104319e-10
06067008708,7.468321457528642e-10
06067007108,1.1308390386101582e-10
06067009651,8.779870791504517e-11
06067007436,8.658960926639188e-11
06067004907,1.263739594594185e-11
06067007028,9.526403166024424e-11
06067004910,3.420199845558892e-11
06067005003,6.234170463319106e-11
06067007022,2.0227430115831856e-11
06067009641,8.155617335908184e-11
06067009645,6.532230521234281e-11
06067004909,3.432652857144225e-11
06067008706,2.4356856457529724e-09
06067008602,1.138227712625495e-08
06001440337,4.467283706562744e-11
06001440338,3.408600444016259e-11
06001451103,2.374692452702667e-09
06001432602,2.4196355791508078e-11
06001451104,1.9609298914285907e-08
06001441928,1.0972841293435051e-10
06001441929,1.9005900386100657e-11
06001441701,4.336079247103644e-11
06001444304,6.605150849421079e-10
06001441525,1.8340329015444295e-10
06001436301,4.170160444015349e-11
06001450400,1.2421205772201074e-10
06037186401,3.635211872586863e-11
06113011304,3.512110559845976e-11
06113010609,3.78229644787815e-11
06113010611,1.9221349034746687e-11
06113011302,1.4294750289575448e-10
06113011211,1.7230328764477854e-11
06113010314,1.2199378648650251e-10
06113011207,3.855691886486455e-09
06113011210,2.8696579343631342e-11
06113011209,5.67388235521299e-11
06113011303,9.181397258687297e-11
06037197200,2.930985115829023e-11
06037197300,2.4673479343632177e-11
06039000511,2.2173296563708465e-10
06039000110,4.789172746525072e-09
06039000517,3.6406325722008014e-09
06039000901,5.4751983590736055e-11
06039000802,6.971202413127373e-11
06039000801,3.985429903475165e-11
06039000903,3.912204382238356e-11
06039000516,4.3354350965248287e-10
06039000515,3.744812308880291e-10
06031000402,2.5712390722007203e-09
06031001601,6.565816859343644e-08
06031001300,1.7611088870656276e-09
06031000200,6.307800403281928e-09
06031000100,9.901163631660243e-09
06045010601,1.0861581677799131e-08
06031001200,1.5400690790154404e-08
06045011003,2.9603092032818646e-09
06045011004,7.677704916023156e-09
06031000403,1.7700111795367543e-10
06045010602,1.9149720909459454e-08
06045011502,1.4719890907334414e-10
06045011501,6.426192123551335e-11
06001441702,4.444064768340494e-11
06001433801,2.3682437258686252e-11
06001433802,3.684141969112313e-11
06001436302,3.049663455597381e-11
06001436403,6.252266563706869e-11
06001436404,6.205794498069068e-11
06001442502,3.824675135135482e-11
06001442501,3.8728479922774276e-11
06001450609,1.0602945482625408e-10
06001450608,1.3852921003859328e-10
06001444303,2.2207921988415171e-10
06001432601,4.183355173744828e-11
06001403401,4.550927413126518e-11
06001403402,3.918972586874114e-12
06001403302,3.2518739575303725e-11
06001982100,6.702933513512919e-11
06001420302,7.827845115828774e-11
06001402801,1.1514002316598147e-11
06001402802,4.678817181466405e-12
06001420401,7.91067548263041e-12
06001403301,7.764983783783362e-12
06001422902,1.523859324324583e-11
06001422901,6.278959845562863e-12
06001420402,1.0094762741313739e-10
06001420301,1.643828262548232e-11
06037197410,5.255262239380763e-11
